Section,Requirement,Buyer requirement,Supplier response,Evidence reference,Deviation
Identity,Legal seller and production site,,,,
Product,Molded or pultruded construction,,,,
Product,Panel depth and mesh,,,,
Product,Usable dimensions and controlled cut plan,,,,
Material,Resin grade and reinforcement,,,,
Surface,Grit colour and finish,,,,
Design,Support span loads and deflection limit,,,,
Evidence,Required fire slip and chemical evidence,,,,
Fabrication,Openings sealed edges and clips,,,,
Commercial,Quantity unit price currency and quote validity,,,,
Commercial,Product-specific MOQ and lead-time assumptions,,,,
Delivery,Incoterm edition and named place,,,,
Delivery,Packing dimensions weight and exclusions,,,,
Acceptance,Sample inspection and shipment-release criteria,,,,
