Section,Requirement,Buyer requirement,Supplier response,Evidence reference,Deviation
Identity,Legal seller and production site,,,,
Service,Medium concentration and temperature envelope,,,,
Design,Diameter pressure stiffness and design basis,,,,
Construction,Liner resin reinforcement and wall construction,,,,
Installation,Burial or support conditions,,,,
Interfaces,Joint system fittings and tolerances,,,,
Evidence,Qualification tests and specimen scope,,,,
Acceptance,Inspection hold points and batch traceability,,,,
Commercial,Quantity unit price currency and quote validity,,,,
Commercial,Product-specific MOQ and lead-time assumptions,,,,
Delivery,Incoterm edition and named place,,,,
Delivery,End protection packing and handling,,,,
