Section,Requirement,Buyer requirement,Supplier response,Evidence reference,Deviation
Identity,Legal seller and production site,,,,
Drawing,Cross-section and controlled revision,,,,
Material,Resin reinforcement and surface veil,,,,
Dimensions,Length straightness and tolerances,,,,
Design,Load directions connections and acceptance criteria,,,,
Tooling,Existing die or new tooling and ownership,,,,
Fabrication,Drilling machining and assembly,,,,
Evidence,Required tests and offered construction,,,,
Acceptance,First article and batch traceability,,,,
Commercial,Quantity unit price currency and quote validity,,,,
Commercial,Product-specific MOQ and lead-time assumptions,,,,
Delivery,Incoterm edition and named place,,,,
Delivery,Bundle support protection and handling,,,,
